"sf__Id","sf__Error",Summary__c,Detail__c,Sentiment__c,Topic__c,Date__c,Follow_Up__c,Relevance_Score__c,Therapeutic_Area__c,Source_Type__c,Account__c
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Schedule follow-up to discuss clinical trial participation' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Positive response in refractory RA patients","Dr. Morita observed significant clinical improvement in patients with long-standing RA who previously failed multiple DMARDs. Improvements were noted in DAS28 scores, morning stiffness duration, and patient fatigue within 6-8 weeks of Immunexis treatment. He is optimistic about its role in refractory cases.","Positive","Efficacy in Refractory RA","2024-01-15","Schedule follow-up to discuss clinical trial participation","9.0","Rheumatology","Physician Meeting","001fio000001lY1AAI"
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Discuss early intervention protocols' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Interest in early intervention strategies","Dr. Morita expressed strong interest in using Immunexis for early intervention in patients with undifferentiated arthritis. He noted that current treatment options are limited and believes Immunexis could provide better outcomes if administered early in the disease course.","Positive","Early Intervention Potential","2024-01-18","Discuss early intervention protocols","9.0","Rheumatology","Physician Meeting","001fio000001lY1AAI"
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Provide comparative analysis report' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Request for comparative efficacy data","Dr. Morita specifically requested comparative efficacy data between Immunexis and current standard of care treatments like methotrexate and TNF inhibitors. He wants to see real-world evidence and clinical trial data showing superiority or non-inferiority.","Neutral","Comparative Data","2024-01-20","Provide comparative analysis report","8.0","Rheumatology","Physician Meeting","001fio000001lY1AAI"
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Provide safety data for elderly patients' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Concerns about long-term safety profile","Dr. Morita raised concerns about the long-term safety profile of Immunexis, particularly regarding infection risk and malignancy potential. He mentioned that his patient population includes elderly patients with comorbidities, making safety a top priority.","Negative","Safety Profile","2024-01-25","Provide safety data for elderly patients","7.0","Rheumatology","Physician Meeting","001fio000001lY1AAI"
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Provide real-world evidence portfolio' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Strong advocate for real-world evidence","Dr. Sinha is a strong advocate for real-world evidence and believes it should be given equal weight to clinical trial data. He has published on this topic and believes that real-world outcomes often differ from trial results.","Positive","Real-World Evidence","2024-01-28","Provide real-world evidence portfolio","9.0","Rheumatology","Physician Meeting","001fio000001lY0AAI"
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Share real-world evidence studies' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Need for real-world comparative evidence","Dr. Sinha emphasized the importance of real-world evidence in comparative studies. He believes that clinical trial data, while valuable, doesn't always reflect real-world outcomes. He wants to see data from observational studies.","Neutral","Comparative Data","2024-01-22","Share real-world evidence studies","8.0","Rheumatology","Physician Meeting","001fio000001lY0AAI"
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Discuss refractory RA clinical trial' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Interest in refractory RA population","Dr. Neale has a large population of patients with refractory rheumatoid arthritis who have failed multiple treatments. He is particularly interested in Immunexis's efficacy in this challenging population.","Positive","Efficacy in Refractory RA","2024-01-16","Discuss refractory RA clinical trial","9.0","Rheumatology","Physician Meeting","001fio000001lY2AAI"
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Provide safety data for refractory patients' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Safety concerns in refractory patients","Dr. Neale expressed concerns about safety in his refractory RA population, who often have multiple comorbidities and are on multiple medications. He wants detailed safety data specific to this population.","Negative","Safety Profile","2024-01-30","Provide safety data for refractory patients","7.0","Rheumatology","Physician Meeting","001fio000001lY2AAI"
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Provide mechanistic studies data' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Questions about mechanism of action","Dr. Neale stated that while the mechanism of action for Immunexis appears novel, the lack of correlation between biomarker suppression and sustained remission leaves him unconvinced.","Negative","Mechanism of Action","2024-02-01","Provide mechanistic studies data","6.0","Immunology","Advisory Board","001fio000001lY2AAI"
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Share patient outcome data' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Significant improvements in patient outcomes","Dr. Dorsch highlighted significant improvements in fatigue and functional ability among his patients treated with Immunexis. He believes patient-reported outcomes offer a useful complement to lab endpoints.","Positive","Quality of Life","2024-01-19","Share patient outcome data","8.0","Rheumatology","Physician Meeting","001fio000001lY3AAI"
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Discuss challenging case studies' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Positive results in difficult cases","Dr. Dorsch has also seen positive results in patients who failed multiple DMARDs, similar to other physicians' experiences. He believes Immunexis offers a valuable option for difficult-to-treat patients.","Positive","Efficacy in Refractory RA","2024-01-24","Discuss challenging case studies","8.0","Rheumatology","Physician Meeting","001fio000001lY3AAI"
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Provide multi-indication data' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Interest in multiple autoimmune conditions","Dr. Yeturu asked whether Immunexis has shown benefit in patients with comorbid autoimmune conditions like ulcerative colitis or Hashimoto's. She remains cautious about off-label potential.","Neutral","Multi-Indication Interest","2024-01-26","Provide multi-indication data","7.0","Immunology","Advisory Board","001fio000001lY7AAI"
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Provide immunogenicity data' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Concerns about immunogenicity","Dr. Yeturu expressed concerns regarding potential anti-drug antibody formation with prolonged Immunexis use. She noted that loss of efficacy in long-term use could point to delayed immunogenicity.","Negative","Immunogenicity","2024-01-29","Provide immunogenicity data","6.0","Immunology","Advisory Board","001fio000001lY7AAI"
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Provide multi-condition comparative data' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Interest in comparative data for multiple conditions","Dr. Yeturu has expressed interest in comparative data specifically for patients with multiple autoimmune conditions. She wants to see how Immunexis performs across different disease states.","Neutral","Comparative Data","2024-02-02","Provide multi-condition comparative data","7.0","Immunology","Physician Meeting","001fio000001lY7AAI"
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Discuss early intervention protocols' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Optimistic about early intervention","Dr. Kumar shares the enthusiasm for early intervention strategies. He has been following the literature on early aggressive treatment and believes Immunexis could be particularly effective.","Positive","Early Intervention Potential","2024-01-17","Discuss early intervention protocols","9.0","Rheumatology","Physician Meeting","001fio000001lY8AAI"
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Share patient selection criteria' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Emphasis on patient selection","Dr. Kumar emphasized the importance of proper patient selection for Immunexis treatment. He believes that identifying the right patients early in the disease course is crucial for optimal outcomes.","Positive","Patient Selection","2024-01-23","Share patient selection criteria","8.0","Rheumatology","Physician Meeting","001fio000001lY8AAI"
"","INVALID_FIELD:Failed to deserialize field at col 5. Due to, 'Provide health economic analysis' is not valid for type xsd:boolean, should be '0', '1', 'true' or 'false':Follow_Up__c --","Questions about cost-effectiveness","Dr. Flacco raised questions about the cost-effectiveness of Immunexis compared to existing treatments. She wants to see health economic analyses before making treatment decisions.","Neutral","Cost-Effectiveness","2024-01-27","Provide health economic analysis","7.0","Rheumatology","Advisory Board","001fio000001lY9AAI"
